postcode, woonplaats, gemeente, provincie, breedtegraad, lengtegraad
1000, Amsterdam, Amsterdam, Noord-Holland, 52.3362429, 4.8694444
1001, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1002, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1003, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1005, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1006, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1007, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1008, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1009, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1011, Amsterdam, Amsterdam, Noord-Holland, 52.3729762, 4.9039565
1012, Amsterdam, Amsterdam, Noord-Holland, 52.3733862, 4.8940639
1013, Amsterdam, Amsterdam, Noord-Holland, 52.396789, 4.8766067
1014, Amsterdam, Amsterdam, Noord-Holland, 52.3923045, 4.8558842
1015, Amsterdam, Amsterdam, Noord-Holland, 52.3790928, 4.885109
1016, Amsterdam, Amsterdam, Noord-Holland, 52.3711467, 4.8837046
1017, Amsterdam, Amsterdam, Noord-Holland, 52.3641851, 4.8907747
1018, Amsterdam, Amsterdam, Noord-Holland, 52.3683871, 4.9180909
1019, Amsterdam, Amsterdam, Noord-Holland, 52.3728583, 4.9388278
1020, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1021, Amsterdam, Amsterdam, Noord-Holland, 52.3842783, 4.9209198
1022, Amsterdam, Amsterdam, Noord-Holland, 52.3879078, 4.9298787
1023, Amsterdam, Amsterdam, Noord-Holland, 52.3870802, 4.9496855
1024, Amsterdam, Amsterdam, Noord-Holland, 52.3934948, 4.9558257
1025, Amsterdam, Amsterdam, Noord-Holland, 52.3996222, 4.9369594
1026, Amsterdam, Amsterdam, Noord-Holland, 52.3812323, 4.9935529
1027, Amsterdam, Amsterdam, Noord-Holland, 52.4119015, 4.9624584
1028, Amsterdam, Amsterdam, Noord-Holland, 52.4096694, 5.015357
1030, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
1031, Amsterdam, Amsterdam, Noord-Holland, 52.3903988, 4.9020632
1032, Amsterdam, Amsterdam, Noord-Holland, 52.395149, 4.9162053
1033, Amsterdam, Amsterdam, Noord-Holland, 52.4071154, 4.8850785
1034, Amsterdam, Amsterdam, Noord-Holland, 52.4057469, 4.9180914
1035, Amsterdam, Amsterdam, Noord-Holland, 52.4168952, 4.9067666
1036, Amsterdam, Amsterdam, Noord-Holland, 52.4076888, 4.9034688
1037, Amsterdam, Amsterdam, Noord-Holland, 52.4238336, 4.8680792
1040, Amsterdam, Amsterdam, Noord-Holland, 52.36424, 4.883358
