name, points, weight, volume
knapsack, 0, 21000, 42000
item1, 22, 29, 64
item2, 15, 26, 63
item3, 12, 40, 65
item4, 19, 25, 75
item5, 28, 37, 55
item6, 27, 32, 73
item7, 23, 29, 66
item8, 15, 30, 41
item9, 15, 26, 50
item10, 17, 21, 41
item11, 20, 31, 41
item12, 29, 27, 70
item13, 10, 31, 64
item14, 22, 20, 59
item15, 25, 27, 41
item16, 28, 32, 42
item17, 29, 37, 61
item18, 28, 33, 46
item19, 22, 30, 78
item20, 23, 29, 50
item21, 17, 34, 75
item22, 29, 38, 63
item23, 29, 22, 42
item24, 10, 32, 46
item25, 29, 29, 68
item26, 17, 34, 50
item27, 13, 37, 61
item28, 29, 33, 47
item29, 19, 23, 68
item30, 15, 31, 60
item31, 19, 30, 74
item32, 12, 34, 69
item33, 24, 36, 61
item34, 22, 32, 59
item35, 12, 25, 75
item36, 11, 31, 69
item37, 22, 40, 61
item38, 29, 30, 72
item39, 19, 25, 52
item40, 12, 29, 67
item41, 17, 25, 55
item42, 13, 31, 44
item43, 25, 28, 52
item44, 30, 39, 58
item45, 25, 37, 43
item46, 22, 39, 73
item47, 29, 26, 75
item48, 29, 36, 66
item49, 10, 36, 49
item50, 15, 27, 72
item51, 28, 29, 63
item52, 17, 30, 46
item53, 21, 35, 48
item54, 11, 26, 70
item55, 22, 31, 64
item56, 14, 29, 42
item57, 24, 21, 62
item58, 12, 31, 49
item59, 15, 22, 71
item60, 28, 21, 74
item61, 18, 33, 57
item62, 12, 21, 74
item63, 22, 22, 43
item64, 27, 37, 63
item65, 22, 28, 42
item66, 15, 36, 47
item67, 24, 32, 69
item68, 20, 27, 47
item69, 18, 33, 53
item70, 24, 25, 59
item71, 25, 33, 59
item72, 29, 30, 69
item73, 23, 27, 70
item74, 26, 30, 53
item75, 18, 39, 51
item76, 26, 21, 43
item77, 17, 21, 69
item78, 28, 29, 56
item79, 29, 33, 50
item80, 28, 35, 71
item81, 26, 40, 41
item82, 16, 35, 75
item83, 17, 27, 61
item84, 23, 30, 64
item85, 12, 24, 70
item86, 12, 30, 43
item87, 22, 20, 56
item88, 13, 29, 62
item89, 19, 23, 44
item90, 20, 33, 63
item91, 27, 23, 57
item92, 16, 38, 57
item93, 12, 27, 41
item94, 16, 34, 47
item95, 25, 32, 69
item96, 12, 23, 50
item97, 19, 36, 47
item98, 18, 37, 60
item99, 18, 33, 73
item100, 13, 38, 42
item101, 24, 28, 41
item102, 22, 34, 79
item103, 19, 28, 73
item104, 17, 27, 76
item105, 30, 31, 40
item106, 18, 33, 45
item107, 16, 34, 66
item108, 28, 30, 71
item109, 29, 26, 63
item110, 24, 21, 60
item111, 24, 28, 63
item112, 26, 37, 57
item113, 12, 31, 78
item114, 15, 36, 61
item115, 19, 31, 45
item116, 20, 32, 64
item117, 14, 38, 42
item118, 14, 30, 80
item119, 11, 39, 54
item120, 10, 28, 62
item121, 17, 27, 49
item122, 24, 35, 56
item123, 20, 32, 71
item124, 14, 24, 64
item125, 21, 22, 44
item126, 23, 26, 48
item127, 14, 32, 41
item128, 20, 25, 76
item129, 29, 37, 72
item130, 25, 22, 65
item131, 22, 39, 70
item132, 14, 20, 71
item133, 11, 29, 42
item134, 17, 38, 79
item135, 19, 35, 77
item136, 18, 33, 58
item137, 16, 29, 65
item138, 10, 27, 76
item139, 24, 38, 70
item140, 17, 29, 52
item141, 25, 36, 53
item142, 25, 20, 60
item143, 18, 38, 57
item144, 28, 25, 66
item145, 12, 25, 41
item146, 26, 20, 54
item147, 22, 36, 80
item148, 18, 23, 43
item149, 29, 36, 79
item150, 15, 34, 57
item151, 12, 30, 47
item152, 19, 26, 64
item153, 20, 37, 64
item154, 13, 30, 51
item155, 11, 28, 68
item156, 16, 20, 43
item157, 15, 33, 52
item158, 23, 23, 48
item159, 24, 25, 54
item160, 17, 21, 66
item161, 21, 39, 80
item162, 23, 36, 73
item163, 25, 22, 65
item164, 20, 40, 69
item165, 29, 26, 77
item166, 21, 29, 58
item167, 23, 28, 66
item168, 13, 38, 72
item169, 30, 40, 57
item170, 29, 31, 64
item171, 26, 22, 40
item172, 26, 34, 67
item173, 13, 30, 77
item174, 13, 38, 42
item175, 13, 36, 56
item176, 28, 39, 45
item177, 27, 38, 48
item178, 18, 26, 76
item179, 18, 32, 50
item180, 13, 30, 49
item181, 10, 35, 74
item182, 20, 22, 49
item183, 12, 36, 78
item184, 11, 28, 77
item185, 19, 21, 80
item186, 19, 35, 53
item187, 28, 29, 60
item188, 22, 35, 76
item189, 18, 23, 59
item190, 29, 25, 47
item191, 30, 39, 76
item192, 11, 35, 71
item193, 13, 34, 58
item194, 12, 27, 45
item195, 18, 24, 78
item196, 21, 31, 66
item197, 29, 34, 40
item198, 21, 31, 80
item199, 29, 24, 63
item200, 24, 22, 47
item201, 21, 24, 74
item202, 17, 25, 59
item203, 24, 33, 76
item204, 12, 36, 75
item205, 18, 25, 59
item206, 29, 38, 72
item207, 17, 23, 65
item208, 15, 36, 77
item209, 11, 25, 78
item210, 13, 23, 44
item211, 18, 37, 56
item212, 12, 21, 62
item213, 25, 35, 79
item214, 23, 31, 55
item215, 12, 24, 55
item216, 25, 30, 79
item217, 15, 23, 70
item218, 19, 24, 77
item219, 28, 28, 68
item220, 15, 26, 44
item221, 23, 25, 60
item222, 27, 28, 58
item223, 12, 25, 64
item224, 24, 21, 63
item225, 26, 22, 71
item226, 11, 26, 68
item227, 21, 23, 74
item228, 26, 34, 56
item229, 27, 35, 68
item230, 22, 25, 78
item231, 28, 33, 44
item232, 14, 36, 62
item233, 29, 38, 71
item234, 28, 21, 53
item235, 11, 24, 55
item236, 21, 30, 73
item237, 14, 30, 68
item238, 20, 30, 54
item239, 10, 21, 71
item240, 19, 21, 58
item241, 18, 24, 57
item242, 12, 24, 45
item243, 25, 33, 70
item244, 21, 31, 75
item245, 12, 38, 42
item246, 14, 22, 51
item247, 25, 24, 56
item248, 22, 23, 68
item249, 20, 37, 60
item250, 19, 38, 79
item251, 16, 38, 48
item252, 16, 26, 63
item253, 26, 26, 79
item254, 16, 35, 41
item255, 19, 23, 49
item256, 17, 22, 77
item257, 26, 25, 62
item258, 11, 38, 77
item259, 29, 25, 56
item260, 21, 20, 54
item261, 22, 21, 78
item262, 28, 40, 46
item263, 19, 20, 75
item264, 15, 30, 40
item265, 17, 24, 49
item266, 12, 22, 66
item267, 21, 22, 75
item268, 19, 21, 49
item269, 16, 38, 57
item270, 28, 29, 51
item271, 23, 24, 65
item272, 18, 23, 66
item273, 24, 32, 72
item274, 24, 34, 40
item275, 19, 34, 70
item276, 22, 33, 41
item277, 15, 23, 80
item278, 22, 39, 48
item279, 29, 29, 45
item280, 27, 36, 58
item281, 14, 25, 55
item282, 19, 35, 42
item283, 21, 33, 63
item284, 22, 26, 64
item285, 13, 39, 40
item286, 15, 35, 58
item287, 24, 37, 46
